post_pi_wave_rank,original_priority_rank,post_pi_wave_id,worker_batch,worker_batch_row,future_live_queue_id,municipality_id,census_gov_id,state,municipality,government_name,government_type,geography_type,population,population_year,county_relationship_count,multi_county_flag,county_context_summary,population_percentile,population_log_scale,population_score,government_type_score,state_yield_score,research_design_score,geographic_value_score,data_completeness_score,evidence_signal_score,retry_adjustment,total_priority_score,national_priority_rank,priority_tier,priority_confidence,priority_reason_summary,state_successful_scout_count,state_candidate_positive_rate,state_candidate_rows_per_covered,state_parseable_empty_rate,state_failure_rate,state_score_confidence,scout_coverage_status,candidate_positive_flag,candidate_row_count,later_verification_row_count,failure_only_flag,retry_flag,retry_priority,prior_failure_run_ids,already_canonical_flag,future_scout_eligible_flag,future_scout_exclusion_reason,score_version,score_stage_disclaimer,source_priority_file,source_priority_commit,search_hints_available,search_hint_1,search_hint_2,search_hint_3,search_hint_4,search_hint_5,expected_units_to_search,verification_notes,recommended_scout_status,worker_id,worker_state_scope,worker_rank_min,worker_rank_max,worker_assignment_method
601,1773,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23,parallel_lane_3,1,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23-LANE3,cog_2025_133542,133542,PA,Yeadon,BOROUGH OF YEADON,municipal,place,12247,2023,1,no,Delaware County (42045; primary),0.892885,0.591028,21.353,10.000,17.177,10.934,7.797,5.000,0.000,0.000,72.262,1773,Tier 1,medium,population percentile 89.3; municipal/place; state evidence medium; smoothed yield component 17.2/20; 2 county relationship(s); unscouted,28,0.857143,2.714286,0.142857,0.000000,medium,not_scouted,no,0,0,no,no,not_applicable,,no,yes,eligible_new_scout,national_priority_v1_2026-07-22,"Operational heuristic only; not evidence of unionization, departments, source availability, wage levels, or causal effects.",docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,8b653b2ba14fc5e6b2a96a523ed3fe6100a780a8,true,"""BOROUGH OF YEADON"" PA official website","""BOROUGH OF YEADON"" PA collective bargaining agreement","""BOROUGH OF YEADON"" PA police union contract","""BOROUGH OF YEADON"" PA fire union contract","""BOROUGH OF YEADON"" PA salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly BOROUGH OF YEADON (Census government ID 133542; locked municipality ID cog_2025_133542). County context: Delaware County (42045; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-aggressive-round-3x300-2026-07-23_lane_3,lane_3,CROSS_STATE_PARALLEL_SCOUT_ROUND,601,900,rank_ordered_disjoint_parallel_lane
602,1774,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23,parallel_lane_3,2,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23-LANE3,cog_2025_101415,101415,CO,Grand Junction,CITY OF GRAND JUNCTION,municipal,place,69412,2023,1,no,Mesa County (08077; primary),0.982297,0.699946,24.387,10.000,15.293,9.288,8.289,5.000,0.000,0.000,72.257,1774,Tier 1,medium,population percentile 98.2; municipal/place; state evidence medium; smoothed yield component 15.3/20; 2 county relationship(s); unscouted,15,0.666667,1.400000,0.333333,0.000000,medium,not_scouted,no,0,0,no,no,not_applicable,,no,yes,eligible_new_scout,national_priority_v1_2026-07-22,"Operational heuristic only; not evidence of unionization, departments, source availability, wage levels, or causal effects.",docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,8b653b2ba14fc5e6b2a96a523ed3fe6100a780a8,true,"""CITY OF GRAND JUNCTION"" CO official website","""CITY OF GRAND JUNCTION"" CO collective bargaining agreement","""CITY OF GRAND JUNCTION"" CO police union contract","""CITY OF GRAND JUNCTION"" CO fire union contract","""CITY OF GRAND JUNCTION"" CO salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF GRAND JUNCTION (Census government ID 101415; locked municipality ID cog_2025_101415). County context: Mesa County (08077; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-aggressive-round-3x300-2026-07-23_lane_3,lane_3,CROSS_STATE_PARALLEL_SCOUT_ROUND,601,900,rank_ordered_disjoint_parallel_lane
603,1776,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23,parallel_lane_3,3,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23-LANE3,cog_2025_208102,208102,KS,Junction City,CITY OF JUNCTION CITY,municipal,place,21856,2023,1,no,Geary County (20061; primary),0.934416,0.627392,22.506,10.000,15.729,10.349,8.671,5.000,0.000,0.000,72.256,1776,Tier 1,low,population percentile 93.4; municipal/place; state evidence low; smoothed yield component 15.7/20; 2 county relationship(s); unscouted,8,0.625000,1.750000,0.375000,0.000000,low,not_scouted,no,0,0,no,no,not_applicable,,no,yes,eligible_new_scout,national_priority_v1_2026-07-22,"Operational heuristic only; not evidence of unionization, departments, source availability, wage levels, or causal effects.",docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,8b653b2ba14fc5e6b2a96a523ed3fe6100a780a8,true,"""CITY OF JUNCTION CITY"" KS official website","""CITY OF JUNCTION CITY"" KS collective bargaining agreement","""CITY OF JUNCTION CITY"" KS police union contract","""CITY OF JUNCTION CITY"" KS fire union contract","""CITY OF JUNCTION CITY"" KS salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF JUNCTION CITY (Census government ID 208102; locked municipality ID cog_2025_208102). County context: Geary County (20061; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-aggressive-round-3x300-2026-07-23_lane_3,lane_3,CROSS_STATE_PARALLEL_SCOUT_ROUND,601,900,rank_ordered_disjoint_parallel_lane
604,1777,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23,parallel_lane_3,4,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23-LANE3,cog_2025_110741,110741,OH,Gallipolis,CITY OF GALLIPOLIS,municipal,place,3284,2023,1,no,Gallia County (39053; primary),0.736077,0.508399,17.984,10.000,19.353,15.076,4.840,5.000,0.000,0.000,72.253,1777,Tier 1,high,population percentile 73.6; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,179,0.966480,3.206704,0.033520,0.011050,high,not_scouted,no,0,0,no,no,not_applicable,,no,yes,eligible_new_scout,national_priority_v1_2026-07-22,"Operational heuristic only; not evidence of unionization, departments, source availability, wage levels, or causal effects.",docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,8b653b2ba14fc5e6b2a96a523ed3fe6100a780a8,true,"""CITY OF GALLIPOLIS"" OH official website","""CITY OF GALLIPOLIS"" OH collective bargaining agreement","""CITY OF GALLIPOLIS"" OH police union contract","""CITY OF GALLIPOLIS"" OH fire union contract","""CITY OF GALLIPOLIS"" OH salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF GALLIPOLIS (Census government ID 110741; locked municipality ID cog_2025_110741). County context: Gallia County (39053; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-aggressive-round-3x300-2026-07-23_lane_3,lane_3,CROSS_STATE_PARALLEL_SCOUT_ROUND,601,900,rank_ordered_disjoint_parallel_lane
605,1779,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23,parallel_lane_3,5,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23-LANE3,cog_2025_225764,225764,CA,Corcoran,CITY OF CORCORAN,municipal,place,22044,2023,1,no,Kings County (06031; primary),0.935062,0.627929,22.523,10.000,18.043,13.079,3.596,5.000,0.000,0.000,72.242,1779,Tier 1,high,population percentile 93.5; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); unscouted,158,0.943038,2.462025,0.056962,0.042424,high,not_scouted,no,0,0,no,no,not_applicable,,no,yes,eligible_new_scout,national_priority_v1_2026-07-22,"Operational heuristic only; not evidence of unionization, departments, source availability, wage levels, or causal effects.",docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,8b653b2ba14fc5e6b2a96a523ed3fe6100a780a8,true,"""CITY OF CORCORAN"" CA official website","""CITY OF CORCORAN"" CA collective bargaining agreement","""CITY OF CORCORAN"" CA police union contract","""CITY OF CORCORAN"" CA fire union contract","""CITY OF CORCORAN"" CA salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF CORCORAN (Census government ID 225764; locked municipality ID cog_2025_225764). County context: Kings County (06031; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-aggressive-round-3x300-2026-07-23_lane_3,lane_3,CROSS_STATE_PARALLEL_SCOUT_ROUND,601,900,rank_ordered_disjoint_parallel_lane
606,1780,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23,parallel_lane_3,6,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23-LANE3,cog_2025_205666,205666,WI,Tomah,CITY OF TOMAH,municipal,place,9452,2023,1,no,Monroe County (55081; primary),0.869928,0.574764,20.785,10.000,17.902,11.561,6.987,5.000,0.000,0.000,72.235,1780,Tier 1,medium,population percentile 87.0; municipal/place; state evidence medium; smoothed yield component 17.9/20; 2 county relationship(s); unscouted,49,0.979592,2.326531,0.020408,0.000000,medium,not_scouted,no,0,0,no,no,not_applicable,,no,yes,eligible_new_scout,national_priority_v1_2026-07-22,"Operational heuristic only; not evidence of unionization, departments, source availability, wage levels, or causal effects.",docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,8b653b2ba14fc5e6b2a96a523ed3fe6100a780a8,true,"""CITY OF TOMAH"" WI official website","""CITY OF TOMAH"" WI collective bargaining agreement","""CITY OF TOMAH"" WI police union contract","""CITY OF TOMAH"" WI fire union contract","""CITY OF TOMAH"" WI salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF TOMAH (Census government ID 205666; locked municipality ID cog_2025_205666). County context: Monroe County (55081; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-aggressive-round-3x300-2026-07-23_lane_3,lane_3,CROSS_STATE_PARALLEL_SCOUT_ROUND,601,900,rank_ordered_disjoint_parallel_lane
607,1781,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23,parallel_lane_3,7,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23-LANE3,cog_2025_131302,131302,NY,Scarsdale,VILLAGE OF SCARSDALE,municipal,place,17747,2023,1,no,Westchester County (36119; primary),0.921041,0.614316,22.110,10.000,16.739,10.760,7.624,5.000,0.000,0.000,72.232,1781,Tier 2,medium,population percentile 92.1; municipal/place; state evidence medium; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,27,0.851852,2.259259,0.148148,0.000000,medium,not_scouted,no,0,0,no,no,not_applicable,,no,yes,eligible_new_scout,national_priority_v1_2026-07-22,"Operational heuristic only; not evidence of unionization, departments, source availability, wage levels, or causal effects.",docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,8b653b2ba14fc5e6b2a96a523ed3fe6100a780a8,true,"""VILLAGE OF SCARSDALE"" NY official website","""VILLAGE OF SCARSDALE"" NY collective bargaining agreement","""VILLAGE OF SCARSDALE"" NY police union contract","""VILLAGE OF SCARSDALE"" NY fire union contract","""VILLAGE OF SCARSDALE"" NY salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly VILLAGE OF SCARSDALE (Census government ID 131302; locked municipality ID cog_2025_131302). County context: Westchester County (36119; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-aggressive-round-3x300-2026-07-23_lane_3,lane_3,CROSS_STATE_PARALLEL_SCOUT_ROUND,601,900,rank_ordered_disjoint_parallel_lane
608,1782,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23,parallel_lane_3,8,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23-LANE3,cog_2025_105995,105995,MD,Chesapeake Beach,TOWN OF CHESAPEAKE BEACH,municipal,place,6492,2023,1,no,Calvert County (24009; primary),0.829043,0.551180,19.870,10.000,17.456,11.487,8.420,5.000,0.000,0.000,72.232,1782,Tier 2,low,population percentile 82.9; municipal/place; state evidence low; smoothed yield component 17.5/20; 2 county relationship(s); unscouted,11,1.000000,2.818182,0.000000,0.000000,low,not_scouted,no,0,0,no,no,not_applicable,,no,yes,eligible_new_scout,national_priority_v1_2026-07-22,"Operational heuristic only; not evidence of unionization, departments, source availability, wage levels, or causal effects.",docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,8b653b2ba14fc5e6b2a96a523ed3fe6100a780a8,true,"""TOWN OF CHESAPEAKE BEACH"" MD official website","""TOWN OF CHESAPEAKE BEACH"" MD collective bargaining agreement","""TOWN OF CHESAPEAKE BEACH"" MD police union contract","""TOWN OF CHESAPEAKE BEACH"" MD fire union contract","""TOWN OF CHESAPEAKE BEACH"" MD salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly TOWN OF CHESAPEAKE BEACH (Census government ID 105995; locked municipality ID cog_2025_105995). County context: Calvert County (24009; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-aggressive-round-3x300-2026-07-23_lane_3,lane_3,CROSS_STATE_PARALLEL_SCOUT_ROUND,601,900,rank_ordered_disjoint_parallel_lane
609,1784,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23,parallel_lane_3,9,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23-LANE3,cog_2025_133570,133570,PA,Elizabethtown,BOROUGH OF ELIZABETHTOWN,municipal,place,12000,2023,1,no,Lancaster County (42071; primary),0.891255,0.589748,21.311,10.000,17.177,10.934,7.808,5.000,0.000,0.000,72.230,1784,Tier 2,medium,population percentile 89.1; municipal/place; state evidence medium; smoothed yield component 17.2/20; 2 county relationship(s); unscouted,28,0.857143,2.714286,0.142857,0.000000,medium,not_scouted,no,0,0,no,no,not_applicable,,no,yes,eligible_new_scout,national_priority_v1_2026-07-22,"Operational heuristic only; not evidence of unionization, departments, source availability, wage levels, or causal effects.",docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,8b653b2ba14fc5e6b2a96a523ed3fe6100a780a8,true,"""BOROUGH OF ELIZABETHTOWN"" PA official website","""BOROUGH OF ELIZABETHTOWN"" PA collective bargaining agreement","""BOROUGH OF ELIZABETHTOWN"" PA police union contract","""BOROUGH OF ELIZABETHTOWN"" PA fire union contract","""BOROUGH OF ELIZABETHTOWN"" PA salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly BOROUGH OF ELIZABETHTOWN (Census government ID 133570; locked municipality ID cog_2025_133570). County context: Lancaster County (42071; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-aggressive-round-3x300-2026-07-23_lane_3,lane_3,CROSS_STATE_PARALLEL_SCOUT_ROUND,601,900,rank_ordered_disjoint_parallel_lane
610,1785,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23,parallel_lane_3,10,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23-LANE3,cog_2025_123097,123097,CA,Hercules,CITY OF HERCULES,municipal,place,26582,2023,1,no,Contra Costa County (06013; primary),0.945909,0.639682,22.865,10.000,18.043,13.079,3.240,5.000,0.000,0.000,72.228,1785,Tier 2,high,population percentile 94.6; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); unscouted,158,0.943038,2.462025,0.056962,0.042424,high,not_scouted,no,0,0,no,no,not_applicable,,no,yes,eligible_new_scout,national_priority_v1_2026-07-22,"Operational heuristic only; not evidence of unionization, departments, source availability, wage levels, or causal effects.",docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,8b653b2ba14fc5e6b2a96a523ed3fe6100a780a8,true,"""CITY OF HERCULES"" CA official website","""CITY OF HERCULES"" CA collective bargaining agreement","""CITY OF HERCULES"" CA police union contract","""CITY OF HERCULES"" CA fire union contract","""CITY OF HERCULES"" CA salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF HERCULES (Census government ID 123097; locked municipality ID cog_2025_123097). County context: Contra Costa County (06013; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-aggressive-round-3x300-2026-07-23_lane_3,lane_3,CROSS_STATE_PARALLEL_SCOUT_ROUND,601,900,rank_ordered_disjoint_parallel_lane
611,1786,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23,parallel_lane_3,11,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23-LANE3,cog_2025_100753,100753,CA,Patterson,CITY OF PATTERSON,municipal,place,25063,2023,1,no,Stanislaus County (06099; primary),0.942340,0.635988,22.756,10.000,18.043,13.079,3.346,5.000,0.000,0.000,72.224,1786,Tier 2,high,population percentile 94.2; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); unscouted,158,0.943038,2.462025,0.056962,0.042424,high,not_scouted,no,0,0,no,no,not_applicable,,no,yes,eligible_new_scout,national_priority_v1_2026-07-22,"Operational heuristic only; not evidence of unionization, departments, source availability, wage levels, or causal effects.",docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,8b653b2ba14fc5e6b2a96a523ed3fe6100a780a8,true,"""CITY OF PATTERSON"" CA official website","""CITY OF PATTERSON"" CA collective bargaining agreement","""CITY OF PATTERSON"" CA police union contract","""CITY OF PATTERSON"" CA fire union contract","""CITY OF PATTERSON"" CA salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF PATTERSON (Census government ID 100753; locked municipality ID cog_2025_100753). County context: Stanislaus County (06099; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-aggressive-round-3x300-2026-07-23_lane_3,lane_3,CROSS_STATE_PARALLEL_SCOUT_ROUND,601,900,rank_ordered_disjoint_parallel_lane
612,1787,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23,parallel_lane_3,12,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23-LANE3,cog_2025_135842,135842,UT,Pleasant Grove,CITY OF PLEASANT GROVE,municipal,place,37294,2023,1,no,Utah County (49049; primary),0.961897,0.660941,23.440,10.000,15.506,10.311,7.964,5.000,0.000,0.000,72.222,1787,Tier 2,low,population percentile 96.2; municipal/place; state evidence low; smoothed yield component 15.5/20; 2 county relationship(s); unscouted,12,0.666667,1.500000,0.333333,0.000000,low,not_scouted,no,0,0,no,no,not_applicable,,no,yes,eligible_new_scout,national_priority_v1_2026-07-22,"Operational heuristic only; not evidence of unionization, departments, source availability, wage levels, or causal effects.",docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,8b653b2ba14fc5e6b2a96a523ed3fe6100a780a8,true,"""CITY OF PLEASANT GROVE"" UT official website","""CITY OF PLEASANT GROVE"" UT collective bargaining agreement","""CITY OF PLEASANT GROVE"" UT police union contract","""CITY OF PLEASANT GROVE"" UT fire union contract","""CITY OF PLEASANT GROVE"" UT salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF PLEASANT GROVE (Census government ID 135842; locked municipality ID cog_2025_135842). County context: Utah County (49049; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-aggressive-round-3x300-2026-07-23_lane_3,lane_3,CROSS_STATE_PARALLEL_SCOUT_ROUND,601,900,rank_ordered_disjoint_parallel_lane
613,1788,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23,parallel_lane_3,13,POST-PI-AGGRESSIVE-ROUND-3X300-2026-07-23-LANE3,cog_2025_211632,211632,CA,Riverbank,CITY OF RIVERBANK,municipal,place,25001,2023,1,no,Stanislaus County (06099; primary),0.942115,0.635832,22.750,10.000,18.043,13.079,3.346,5.000,0.000,0.000,72.219,1788,Tier 2,high,population percentile 94.2; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); unscouted,158,0.943038,2.462025,0.056962,0.042424,high,not_scouted,no,0,0,no,no,not_applicable,,no,yes,eligible_new_scout,national_priority_v1_2026-07-22,"Operational heuristic only; not evidence of unionization, departments, source availability, wage levels, or causal effects.",docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,8b653b2ba14fc5e6b2a96a523ed3fe6100a780a8,true,"""CITY OF RIVERBANK"" CA official website","""CITY OF RIVERBANK"" CA collective bargaining agreement","""CITY OF RIVERBANK"" CA police union contract","""CITY OF RIVERBANK"" CA fire union contract","""CITY OF RIVERBANK"" CA salary schedule employee compensation plan","municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF RIVERBANK (Census government ID 211632; locked municipality ID cog_2025_211632). County context: Stanislaus County (06099; primary). Do not substitute counties, schools, transit/port/airport/housing authorities, special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return no candidates if no qualifying exact-employer source is found. Distinguish blocked from dead links, suppress duplicates, do not make or recommend public-records requests, and keep results unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_post-pi-aggressive-round-3x300-2026-07-23_lane_3,lane_3,CROSS_STATE_PARALLEL_SCOUT_ROUND,601,900,rank_ordered_disjoint_parallel_lane
